PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,2,20,134,2462.0,968,681,111,57,69,2711280.0
Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,9,12,664,17811.0,6157,5303,982,588,629,17073171.0
Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,5,14,343,9666.0,4617,2850,1189,340,309,28103550.0
Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,1,30,32,360.0,132,87,21,6,10,1994520.0
LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,16,2,1076,36242.0,20558,8736,2076,758,1187,2641691.0
Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,3,17,158,3064.0,1467,415,347,110,53,3261480.0
Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,4,21,192,4199.0,1806,490,285,108,34,4054695.0
Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,5,22,341,9062.0,3945,2964,467,187,465,20000000.0
Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,1,Undrafted,54,834.0,330,100,152,71,7,
Kyle Anderson,Timberwolves,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,8,30,505,10584.0,3366,2220,1167,510,298,9937150.0
Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,9,15,656,21354.0,14321,6149,3020,764,856,39344970.0
Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,4,51,127,1159.0,398,250,83,45,24,1729217.0
Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,19,3,1260,43514.0,28289,7808,3422,1223,644,2641691.0
Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,2,15,112,3332.0,1667,569,561,76,35,3449400.0
OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,5,23,301,8061.0,3144,1246,429,331,138,16071429.0
Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,6,Undrafted,217,3722.0,1005,429,460,115,7,586136.0
D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,14,9,976,22852.0,9259,1805,3761,567,32,7622467.0
Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,2,9,136,3241.0,1027,687,230,91,59,4692840.0
Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,4,1,236,7246.0,3843,2485,380,168,246,12632950.0
Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,2,27,32,252.0,96,84,0,2,15,2075880.0
Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,4,2,166,4159.0,2256,1224,151,82,110,11312114.0
LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,2,3,126,3891.0,2311,803,884,200,48,8231760.0
Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,5,2,252,8187.0,2995,1447,1563,391,162,18604651.0
Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,4,6,226,4193.0,1747,1372,201,88,326,7568742.0
Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,2,30,144,3785.0,2009,544,326,133,45,2033160.0
Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,1,46,64,696.0,205,124,99,28,10,925258.0
Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,10,7,747,23763.0,10566,3817,1376,522,142,20284091.0
Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,1,4,74,2617.0,1134,557,256,80,55,7280520.0
RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,3,3,198,6633.0,3469,1101,568,151,53,8623920.0
Will Barton,Wizards,Guard,6-5,181,USA,1991-01-06T00:00:00,10,40,623,16123.0,7246,2655,1705,476,259,15384615.0
